The Hunger Games ; Lionsgate Films ; Francis Lawrence ; Action ; ComingSoon;
Black Nativity  ; Fox Searchlight Pictures ; Kasi Lemmons ; Drama ; ComingSoon;
2013 film ; Walt Disney Pictures ;  Jennifer Lee  ;  ; ComingSoon;
Grace of Monaco  ; The Weinstein Company ; Olivier Dahan ; Biography ; ComingSoon;
 ; Open Road Films ; Gary Fleder ; Action ; ComingSoon;
2013 film ;  ; Spike Lee ; Crime ; ComingSoon;
 Long Walk to Freedom ; The Weinstein Company ; Justin Chadwick ; Drama ; ComingSoon;
Inside Llewyn Davis ; CBS Films ; Joel Coen ; Biography ; ComingSoon;
Out of the Furnace ; Relativity Media ; Scott Cooper  ; Crime ; ComingSoon;
A Madea Christmas  ; Lionsgate Films ; Tyler Perry ; Comedy ; ComingSoon;
American Hustle  ; Columbia Pictures ; David O. Russell ; Crime ; ComingSoon;
Saving Mr. Banks ; Walt Disney Pictures ; John Lee Hancock ; Drama ; 13 ;
The Hobbit ; Warner Bros. ; Peter Jackson ; Adventure ; ComingSoon;
 ; Warner Bros. ; Spike Jonze ; Drama ; ComingSoon;
The Monuments Men  ; Columbia Pictures ; George Clooney ; War ; ComingSoon;
Anchorman 2 ; Paramount Pictures ; Adam McKay ; Comedy ; ComingSoon;
 ; Sony Pictures Classics ; Bennett Miller ; Drama ; ComingSoon;
Walking with Dinosaurs  ; 20th Century Fox ;  Neil Nightengale ; Family ; ComingSoon;
47 Ronin  ; Universal Studios ;  Carl Rinsch  ; Action ; ComingSoon;
 Osage County  ; The Weinstein Company ; John Wells  ; Comedy ; ComingSoon;
Grudge Match  ; Warner Bros. ; Peter Segal ; Comedy ; ComingSoon;
Jack Ryan  ; Paramount Pictures ; Kenneth Branagh ;  ; ComingSoon;
The Secret Life of Walter Mitty  ; 20th Century Fox ; Ben Stiller ; Comedy ; ComingSoon;
Lone Survivor  ; Universal Studios ; Peter Berg ; Drama ; ComingSoon;
